,Unnamed: 0,iteration,total_time,actor_loss,value_loss,actor_grad_norm,critic_grad_norm,episode_reward,episode_success,_timestamp,_runtime,episode_reward_planning,episode_success_planning,task
1000,1000,99999,14612.225768566132,-13.389013290405272,0.0088669611141085,0.0205549336969852,0.5240700244903564,888.7999877929688,0.0,1716339802,15000,501.6000061035156,0.0,finger-turn-easy
1000,1000,99999,12665.896911621094,-0.8324306011199951,0.6590433120727539,0.0054609482176601,6.15291166305542,1272.902587890625,1.0,1716322856,12846,1335.4075927734375,1.0,mw-push-back
1000,1000,99999,12722.388082027435,-10.578606605529783,0.0034742264542728,0.0053217052482068,0.4493542313575744,1073.791748046875,0.8,1716323423,12901,701.0709838867188,0.7,mw-bin-picking
1000,1000,99999,13023.303379058838,-4.057914733886719,0.3633987605571747,0.023854523897171,1.6903822422027588,1346.219482421875,0.9,1716323032,13207,1566.9603271484375,1.0,mw-pick-place
1000,1000,99999,13075.373783826828,1.617633581161499,1493993.0,0.4211698472499847,22097698.0,1471.486572265625,1.0,1716322651,13254,175.55770874023438,0.0,mw-door-close
1000,1000,99999,12713.521034240724,1.5096192359924316,2772263.75,0.8345714807510376,6097117.5,1861.538330078125,1.0,1716322288,12874,1431.3521728515625,0.8,mw-drawer-close
1000,1000,99999,14002.818142414091,-18.037525177001953,0.0007656880188733,0.0090951789170503,0.0874105468392372,516.677734375,0.0,1716339447,14345,321.03759765625,0.0,cheetah-jump
1000,1000,99999,12796.34568810463,-22.338977813720703,0.0003130569239147,0.0025250648614019,0.3977473080158233,449.0783081054687,0.0,1716338393,13138,382.7057495117187,0.0,pendulum-spin
1000,1000,99999,13055.688076734545,-11.115962982177734,0.0018435103120282,0.0056436941958963,0.457593023777008,1736.405029296875,1.0,1716322543,13238,838.9945068359375,0.1,mw-dial-turn
1000,1000,99999,12789.852933883669,-0.0624724850058555,23.18522834777832,0.0051153032109141,659.551025390625,1718.0289306640625,1.0,1716322981,12949,547.4441528320312,0.3,mw-push
1000,1000,99999,12699.197590827942,-13.100533485412598,0.0015585558721795,0.0046527134254574,0.6923766732215881,1423.581298828125,0.7,1716322243,12881,1111.663330078125,0.0,mw-door-open
1000,1000,99999,12877.901362419128,-12.33681297302246,0.0004921079962514,0.0021796582732349,0.5204294323921204,985.5999755859376,0.0,1716338387,13222,974.9000244140624,0.0,reacher-three-easy
1000,1000,99999,12609.397070646286,-0.0010036546736955,137.89776611328125,0.0203451309353113,996.4906616210938,856.1292114257812,0.4,1716346184,12801,1171.793212890625,0.7,mw-basketball
1000,1000,99999,14536.903332471848,0.0122449425980448,15.801544189453123,0.1610137671232223,469.05364990234375,1569.6785888671875,1.0,1716325092,14722,246.78140258789065,0.1,mw-window-close
1000,1000,99999,13293.773561000824,-11.28743839263916,0.0130155999213457,0.0555889047682285,0.0643771290779113,46.345664978027344,0.0,1716338566,13642,10.486724853515623,0.0,hopper-hop
1000,1000,99999,12827.477887153624,-14.706403732299805,0.001893094740808,0.0057365968823432,0.9489542841911316,1462.535888671875,0.9,1716346516,13010,958.43994140625,0.5,mw-button-press-wall
1000,1000,99999,14568.597265005112,-1.5614821910858154,7972350.5,0.1180779859423637,28156124.0,1469.4810791015625,0.9,1716325061,14730,69.89079284667969,0.0,mw-window-open
1000,1000,99999,12827.150697231293,-3.0963714122772217,35108.88671875,0.4790934324264526,199786.25,648.7933349609375,0.1,1716323228,12988,25.479955673217773,0.0,mw-stick-pull
