task,seed,episode_reward,episode_success
cup-spin,3,3.8632919788360596,0.0
cup-spin,4,3.8575611114501953,0.0
cup-spin,5,4.8764567375183105,0.0
cup-spin,6,4.521183013916016,0.0
cup-spin,7,403.44329833984375,0.0
cup-spin,8,4.0886335372924805,0.0
cup-spin,9,3.875640869140625,0.0
pendulum-spin,0,272.63623046875,0.0
pendulum-spin,1,272.4097595214844,0.0
pendulum-spin,2,242.76889038085938,0.0
pendulum-spin,3,266.409912109375,0.0
pendulum-spin,4,252.30117797851562,0.0
pendulum-spin,5,254.0989532470703,0.0
pendulum-spin,6,255.44580078125,0.0
pendulum-spin,7,270.6170959472656,0.0
pendulum-spin,8,273.2967834472656,0.0
pendulum-spin,9,832.1483154296875,0.0
mw-assembly,0,1659.2991943359375,1.0
mw-assembly,1,1686.77099609375,1.0
mw-assembly,2,1663.762939453125,1.0
mw-assembly,3,1680.073974609375,1.0
mw-assembly,4,1686.27734375,1.0
mw-assembly,5,1642.53125,1.0
mw-assembly,6,1690.7916259765625,1.0
mw-assembly,7,1639.293212890625,1.0
mw-assembly,8,1673.465576171875,1.0
mw-assembly,9,1678.42333984375,1.0
mw-basketball,0,1491.5855712890625,1.0
mw-basketball,1,829.0875244140625,1.0
mw-basketball,2,557.4183959960938,0.0
mw-basketball,3,1562.682373046875,1.0
mw-basketball,4,229.89306640625,0.0
mw-basketball,5,936.47314453125,0.0
mw-basketball,6,959.03955078125,0.0
mw-basketball,7,1454.534423828125,1.0
mw-basketball,8,384.3167419433594,0.0
mw-basketball,9,817.8202514648438,0.0
mw-button-press-topdown,0,1344.70458984375,1.0
mw-button-press-topdown,1,1337.6400146484375,1.0
mw-button-press-topdown,2,1341.3438720703125,1.0
mw-button-press-topdown,3,1287.4625244140625,1.0
mw-button-press-topdown,4,1351.6485595703125,1.0
mw-button-press-topdown,5,1353.9927978515625,1.0
mw-button-press-topdown,6,1348.125,1.0
mw-button-press-topdown,7,1289.4073486328125,1.0
mw-button-press-topdown,8,1356.6199951171875,1.0
mw-button-press-topdown,9,1370.9091796875,1.0
mw-button-press-topdown-wall,0,1285.860107421875,1.0
mw-button-press-topdown-wall,1,1270.0460205078125,1.0
mw-button-press-topdown-wall,2,1310.5902099609375,1.0
mw-button-press-topdown-wall,3,1249.99853515625,1.0
mw-button-press-topdown-wall,4,1334.8634033203125,1.0
mw-button-press-topdown-wall,5,1058.4403076171875,1.0
mw-button-press-topdown-wall,6,1136.030029296875,1.0
mw-button-press-topdown-wall,7,1324.8236083984375,1.0
mw-button-press-topdown-wall,8,1074.586669921875,1.0
mw-button-press-topdown-wall,9,1171.2733154296875,1.0
