Relative Time (Process),FOWM_AntEnv_sweep_2 - _step,FOWM_AntEnv_sweep_2 - _step__MIN,FOWM_AntEnv_sweep_2 - _step__MAX,FOWM_AntEnv_sweep_2 - rewards,FOWM_AntEnv_sweep_2 - rewards__MIN,FOWM_AntEnv_sweep_2 - rewards__MAX,FOWM_AntEnv_sweep_1 - _step,FOWM_AntEnv_sweep_1 - _step__MIN,FOWM_AntEnv_sweep_1 - _step__MAX,FOWM_AntEnv_sweep_1 - rewards,FOWM_AntEnv_sweep_1 - rewards__MIN,FOWM_AntEnv_sweep_1 - rewards__MAX,FOWM_AntEnv_sweep_0 - _step,FOWM_AntEnv_sweep_0 - _step__MIN,FOWM_AntEnv_sweep_0 - _step__MAX,FOWM_AntEnv_sweep_0 - rewards,FOWM_AntEnv_sweep_0 - rewards__MIN,FOWM_AntEnv_sweep_0 - rewards__MAX
4406,,,,,,,65568768.0,65568768.0,65568768.0,52.53550338745117,52.53550338745117,52.53550338745117,,,,,,
4439,,,,,,,,,,,,,60686336.0,60686336.0,60686336.0,34.43752670288086,34.43752670288086,34.43752670288086
4488,65601536.0,65601536.0,65601536.0,37.81406021118164,37.81406021118164,37.81406021118164,,,,,,,,,,,,
4506,,,,,,,67207168.0,67207168.0,67207168.0,63.90475845336914,63.90475845336914,63.90475845336914,,,,,,
4555,,,,,,,,,,,,,62324736.0,62324736.0,62324736.0,34.67253494262695,34.67253494262695,34.67253494262695
4600,67239936.0,67239936.0,67239936.0,37.75041580200195,37.75041580200195,37.75041580200195,,,,,,,,,,,,
4606,,,,,,,68845568.0,68845568.0,68845568.0,59.1264533996582,59.1264533996582,59.1264533996582,,,,,,
4664,,,,,,,,,,,,,63963136.0,63963136.0,63963136.0,52.73561477661133,52.73561477661133,52.73561477661133
4712,68878336.0,68878336.0,68878336.0,36.21036529541016,36.21036529541016,36.21036529541016,,,,,,,,,,,,
4713,,,,,,,70483968.0,70483968.0,70483968.0,61.71916961669922,61.71916961669922,61.71916961669922,,,,,,
4777,,,,,,,,,,,,,65601536.0,65601536.0,65601536.0,38.94245910644531,38.94245910644531,38.94245910644531
4816,,,,,,,72122368.0,72122368.0,72122368.0,57.50433349609375,57.50433349609375,57.50433349609375,,,,,,
4824,70516736.0,70516736.0,70516736.0,37.545135498046875,37.545135498046875,37.545135498046875,,,,,,,,,,,,
