"global_step","honest-sweep-20 - _step","honest-sweep-20 - _step__MIN","honest-sweep-20 - _step__MAX","honest-sweep-20 - rewards/step","honest-sweep-20 - rewards/step__MIN","honest-sweep-20 - rewards/step__MAX","upbeat-sweep-19 - _step","upbeat-sweep-19 - _step__MIN","upbeat-sweep-19 - _step__MAX","upbeat-sweep-19 - rewards/step","upbeat-sweep-19 - rewards/step__MIN","upbeat-sweep-19 - rewards/step__MAX","easy-sweep-13 - _step","easy-sweep-13 - _step__MIN","easy-sweep-13 - _step__MAX","easy-sweep-13 - rewards/step","easy-sweep-13 - rewards/step__MIN","easy-sweep-13 - rewards/step__MAX","helpful-sweep-9 - _step","helpful-sweep-9 - _step__MIN","helpful-sweep-9 - _step__MAX","helpful-sweep-9 - rewards/step","helpful-sweep-9 - rewards/step__MIN","helpful-sweep-9 - rewards/step__MAX","serene-sweep-7 - _step","serene-sweep-7 - _step__MIN","serene-sweep-7 - _step__MAX","serene-sweep-7 - rewards/step","serene-sweep-7 - rewards/step__MIN","serene-sweep-7 - rewards/step__MAX"
"10076160","124","124","124","3601.74951171875","3601.74951171875","3601.74951171875","124","124","124","3793.090576171875","3793.090576171875","3793.090576171875","124","124","124","2562.857666015625","2562.857666015625","2562.857666015625","124","124","124","3739.096435546875","3739.096435546875","3739.096435546875","124","124","124","3762.068603515625","3762.068603515625","3762.068603515625"
"10321920","127","127","127","3610.751708984375","3610.751708984375","3610.751708984375","127","127","127","3721.755615234375","3721.755615234375","3721.755615234375","127","127","127","2687.34814453125","2687.34814453125","2687.34814453125","127","127","127","3773.75048828125","3773.75048828125","3773.75048828125","127","127","127","3808.41796875","3808.41796875","3808.41796875"
"10567680","130","130","130","3616.823974609375","3616.823974609375","3616.823974609375","130","130","130","3764.653564453125","3764.653564453125","3764.653564453125","130","130","130","2749.276123046875","2749.276123046875","2749.276123046875","130","130","130","3779.752685546875","3779.752685546875","3779.752685546875","130","130","130","3835.0205078125","3835.0205078125","3835.0205078125"
"10813440","133","133","133","3587.60302734375","3587.60302734375","3587.60302734375","133","133","133","3848.084228515625","3848.084228515625","3848.084228515625","133","133","133","2769.26025390625","2769.26025390625","2769.26025390625","133","133","133","3779.80419921875","3779.80419921875","3779.80419921875","133","133","133","3820.36279296875","3820.36279296875","3820.36279296875"
"11059200","136","136","136","3622.13525390625","3622.13525390625","3622.13525390625","136","136","136","3830.517333984375","3830.517333984375","3830.517333984375","136","136","136","2806.68798828125","2806.68798828125","2806.68798828125","136","136","136","3068.030517578125","3068.030517578125","3068.030517578125","136","136","136","3838.633056640625","3838.633056640625","3838.633056640625"
"11304960","139","139","139","3641.568603515625","3641.568603515625","3641.568603515625","139","139","139","3802.09716796875","3802.09716796875","3802.09716796875","139","139","139","2796.66357421875","2796.66357421875","2796.66357421875","139","139","139","3632.06591796875","3632.06591796875","3632.06591796875","139","139","139","3777.240966796875","3777.240966796875","3777.240966796875"
"11550720","142","142","142","3651.982421875","3651.982421875","3651.982421875","142","142","142","3832.409912109375","3832.409912109375","3832.409912109375","142","142","142","2831.342529296875","2831.342529296875","2831.342529296875","142","142","142","3865.794677734375","3865.794677734375","3865.794677734375","142","142","142","3829.129638671875","3829.129638671875","3829.129638671875"
"11796480","145","145","145","3665.71337890625","3665.71337890625","3665.71337890625","145","145","145","3834.94189453125","3834.94189453125","3834.94189453125","145","145","145","2744.2197265625","2744.2197265625","2744.2197265625","145","145","145","3881.18359375","3881.18359375","3881.18359375","145","145","145","3851.30126953125","3851.30126953125","3851.30126953125"
"12042240","148","148","148","3695.480224609375","3695.480224609375","3695.480224609375","148","148","148","3852.55615234375","3852.55615234375","3852.55615234375","148","148","148","2787.97021484375","2787.97021484375","2787.97021484375","148","148","148","3876.6376953125","3876.6376953125","3876.6376953125","148","148","148","3861.061767578125","3861.061767578125","3861.061767578125"
"12288000","151","151","151","3707.28173828125","3707.28173828125","3707.28173828125","151","151","151","3896.787353515625","3896.787353515625","3896.787353515625","151","151","151","2941.306396484375","2941.306396484375","2941.306396484375","151","151","151","3911.6640625","3911.6640625","3911.6640625","151","151","151","3857.6318359375","3857.6318359375","3857.6318359375"
