"Step","PWM_HopperEnv_sweep_2 - rewards","PWM_HopperEnv_sweep_2 - rewards__MIN","PWM_HopperEnv_sweep_2 - rewards__MAX","PWM_HopperEnv_sweep_1 - rewards","PWM_HopperEnv_sweep_1 - rewards__MIN","PWM_HopperEnv_sweep_1 - rewards__MAX","PWM_HopperEnv_sweep_0 - rewards","PWM_HopperEnv_sweep_0 - rewards__MIN","PWM_HopperEnv_sweep_0 - rewards__MAX"
"921600","2497.981689453125","2497.981689453125","2497.981689453125","2219.212646484375","2219.212646484375","2219.212646484375","1046.9195556640625","1046.9195556640625","1046.9195556640625"
"972800","3336.00244140625","3336.00244140625","3336.00244140625","1778.57275390625","1778.57275390625","1778.57275390625","1493.6729736328125","1493.6729736328125","1493.6729736328125"
"1024000","2063.023193359375","2063.023193359375","2063.023193359375","2971.322021484375","2971.322021484375","2971.322021484375","2450.796630859375","2450.796630859375","2450.796630859375"
"1075200","1113.5321044921875","1113.5321044921875","1113.5321044921875","2279.96484375","2279.96484375","2279.96484375","1965.330078125","1965.330078125","1965.330078125"
"1126400","2410.61376953125","2410.61376953125","2410.61376953125","2197.76806640625","2197.76806640625","2197.76806640625","2143.59716796875","2143.59716796875","2143.59716796875"
"1177600","2946.975830078125","2946.975830078125","2946.975830078125","2276.512939453125","2276.512939453125","2276.512939453125","2178.0478515625","2178.0478515625","2178.0478515625"
"1228800","3135.752685546875","3135.752685546875","3135.752685546875","2302.1455078125","2302.1455078125","2302.1455078125","2727.627685546875","2727.627685546875","2727.627685546875"
"1280000","3487.10302734375","3487.10302734375","3487.10302734375","3172.647705078125","3172.647705078125","3172.647705078125","2412.380126953125","2412.380126953125","2412.380126953125"
"1331200","2556.37646484375","2556.37646484375","2556.37646484375","2932.93310546875","2932.93310546875","2932.93310546875","2491.182861328125","2491.182861328125","2491.182861328125"
"1382400","1384.6563720703125","1384.6563720703125","1384.6563720703125","3086.54931640625","3086.54931640625","3086.54931640625","3049.8427734375","3049.8427734375","3049.8427734375"
"1433600","306.5651550292969","306.5651550292969","306.5651550292969","3173.0556640625","3173.0556640625","3173.0556640625","3288.2734375","3288.2734375","3288.2734375"
"1484800","1562.3255615234375","1562.3255615234375","1562.3255615234375","3294.67138671875","3294.67138671875","3294.67138671875","3201.124267578125","3201.124267578125","3201.124267578125"
"1536000","2908.933349609375","2908.933349609375","2908.933349609375","2974.62109375","2974.62109375","2974.62109375","3339.745849609375","3339.745849609375","3339.745849609375"
"1587200","3119.735595703125","3119.735595703125","3119.735595703125","3350.02783203125","3350.02783203125","3350.02783203125","3643.43701171875","3643.43701171875","3643.43701171875"
"1638400","3389.439208984375","3389.439208984375","3389.439208984375","3234.6806640625","3234.6806640625","3234.6806640625","3856.432373046875","3856.432373046875","3856.432373046875"
"1689600","3611.16455078125","3611.16455078125","3611.16455078125","3389.50830078125","3389.50830078125","3389.50830078125","3169.91796875","3169.91796875","3169.91796875"
"1740800","3939.521484375","3939.521484375","3939.521484375","3622.75244140625","3622.75244140625","3622.75244140625","2919.4775390625","2919.4775390625","2919.4775390625"
"1792000","4148.49951171875","4148.49951171875","4148.49951171875","3314.7275390625","3314.7275390625","3314.7275390625","3666.078369140625","3666.078369140625","3666.078369140625"
"1843200","4292.439453125","4292.439453125","4292.439453125","3928.22705078125","3928.22705078125","3928.22705078125","3970.76513671875","3970.76513671875","3970.76513671875"
"1894400","4478.6083984375","4478.6083984375","4478.6083984375","4426.65625","4426.65625","4426.65625","3628.561767578125","3628.561767578125","3628.561767578125"
"1945600","4506.97216796875","4506.97216796875","4506.97216796875","4127.7353515625","4127.7353515625","4127.7353515625","3061.107177734375","3061.107177734375","3061.107177734375"
